id,taxon,common_name,family,type,app_claimed_rarity,inat_sg_observations,inat_sg_research_grade,inat_global_observations,inat_bucket
1,Devadatta argyoides,Malayan Grisette,Amphipterygidae,zygoptera,uncommon,173,167,409,abundant records (150+)
90,Indothemis limbata,Restless Demon,Libellulidae,anisoptera,rare,173,167,303,abundant records (150+)
84,Cratilla lineata,Lined Forest-skimmer,Libellulidae,anisoptera,rare,182,171,1421,abundant records (150+)
69,Idionyx yolanda,Shadowdancer,Corduliidae,anisoptera,rare,184,170,194,abundant records (150+)
52,Gynacantha subinterrupta,Dingy Duskhawker,Aeshnidae,anisoptera,uncommon,204,129,1513,abundant records (150+)
107,Pornothemis starrei,Mangrove Marshal,Libellulidae,anisoptera,rare,207,200,261,abundant records (150+)
29,Onychargia atrocyana,Shorttail,Coenagrionidae,zygoptera,uncommon,222,203,2527,abundant records (150+)
126,Zyxomma petiolatum,Slender Duskdarter,Libellulidae,anisoptera,common,228,209,2215,abundant records (150+)
33,Pseudagrion pruinosum,Grey Sprite,Coenagrionidae,zygoptera,uncommon,230,204,1029,abundant records (150+)
31,Pseudagrion australasiae,Look-alike Sprite,Coenagrionidae,zygoptera,uncommon,242,211,652,abundant records (150+)
7,Libellago lineata,Golden Gem,Chlorocyphidae,zygoptera,,249,236,1752,abundant records (150+)
112,Rhyothemis obsolescens,Bronze Flutterer,Libellulidae,anisoptera,uncommon,263,258,629,abundant records (150+)
95,Nesoxenia lineata,Striped Grenadier,Libellulidae,anisoptera,uncommon,265,256,351,abundant records (150+)
109,Pseudothemis jorina,Banded Skimmer,Libellulidae,anisoptera,uncommon,277,269,675,abundant records (150+)
74,Aethriamanta brevipennis,Scarlet Adjudant,Libellulidae,anisoptera,rare,308,282,2248,abundant records (150+)
110,Raphismia bispina,Mangrove Dwarf,Libellulidae,anisoptera,uncommon,317,307,589,abundant records (150+)
108,Potamarcha congener,Common Chaser,Libellulidae,anisoptera,common,354,340,6556,abundant records (150+)
106,Pantala flavescens,Wandering Glider,Libellulidae,anisoptera,very common,389,355,35849,abundant records (150+)
40,Coeliccia octogesima,Telephone Sylvan,Platycnemididae,zygoptera,common,395,385,430,abundant records (150+)
22,Archibasis viola,Violet Sprite,Coenagrionidae,zygoptera,uncommon,400,350,520,abundant records (150+)
115,Rhyothemis triangularis,Sapphire Flutterer,Libellulidae,anisoptera,uncommon,431,428,1583,abundant records (150+)
11,Lestes praemorsus,Crenulated Spreadwing,Lestidae,zygoptera,uncommon,452,450,1159,abundant records (150+)
14,Podolestes orientalis,Blue-spotted Flatwing,Megapodagrionidae,zygoptera,uncommon,464,458,625,abundant records (150+)
47,Prodasineura notostigma,Crescent Threadtail,Protoneuridae,zygoptera,common,473,432,565,abundant records (150+)
19,Amphicnemis gracilis,Will-o-wisp,Coenagrionidae,zygoptera,uncommon,548,523,619,abundant records (150+)
87,Diplacodes nebulosa,Black-tipped Percher,Libellulidae,anisoptera,uncommon,590,583,1608,abundant records (150+)
81,Brachythemis contaminata,Common Amberwing,Libellulidae,anisoptera,common,644,621,21156,abundant records (150+)
94,Nannophya pygmaea,Scarlet Pygmy,Libellulidae,anisoptera,uncommon,653,644,1639,abundant records (150+)
121,Trithemis festiva,Indigo Dropwing,Libellulidae,anisoptera,common,663,647,8893,abundant records (150+)
93,Macrodiplax cora,Coastal Glider,Libellulidae,anisoptera,,673,628,3504,abundant records (150+)
82,Camacinia gigantea,Sultan,Libellulidae,anisoptera,rare,711,710,1156,abundant records (150+)
103,Orthetrum luzonicum,Slender Blue Skimmer,Libellulidae,anisoptera,common,784,726,5028,abundant records (150+)
72,Acisoma panorpoides,Trumpet Tail,Libellulidae,anisoptera,common,842,834,6970,abundant records (150+)
16,Agriocnemis femina,Variable Wisp,Coenagrionidae,zygoptera,common,860,749,4899,abundant records (150+)
75,Aethriamanta gracilis,Pond Adjutant,Libellulidae,anisoptera,common,907,842,1216,abundant records (150+)
45,Prodasineura humeralis,Orange-striped Threadtail,Protoneuridae,zygoptera,uncommon,966,916,1272,abundant records (150+)
3,Vestalis amethystina,Common Flashwing,Calopterygidae,zygoptera,common,1059,865,1485,abundant records (150+)
88,Diplacodes trivialis,Blue Percher,Libellulidae,anisoptera,common,1071,1057,33495,abundant records (150+)
111,Rhodothemis rufa,Common Redbolt,Libellulidae,anisoptera,common,1133,1047,3862,abundant records (150+)
105,Orthetrum testaceum,Scarlet Skimmer,Libellulidae,anisoptera,common,1179,1030,5185,abundant records (150+)
85,Cratilla metallica,Dark-tipped Forest-skimmer,Libellulidae,anisoptera,common,1234,1216,1751,abundant records (150+)
